pages,booktitle,abstract,doi,url,address,publisher,isbn,year,title,author,ENTRYTYPE,ID,editor
164--185,"Proceedings of the Future Technologies Conference (FTC) 2023, Volume 4","Generative AI for text-based applications have gained in popularity with the release of ChatGPT in late 2022 by OpenAI. Users engage with the application via a web-based user interface or programmatically via the API. The details of the model internals and specifics on the training have not been made public, which poses several challenges in better understanding the system. It would be advantageous to have insight into the system to better understand the occurrence of bias and issues pertaining to privacy, among other concerns. These aforementioned issues could be better addressed if the code base used for training these large language models were made publicly available. Since the release of ChatGPT and its underlying technologies, there have been various open-source platforms that have become publicly available. This survey presents an analysis of four open-source platforms for chat-based generative AI. These specific platforms include Open Assistant, Colossal AI, ChatLLaMA and OpenChatKit. This survey evaluates each of the four open-source platforms for chat-based Generative AI based on evaluative criteria consisting of understandability, setup and configuration, community and support, regularity of code updates, as well as system compatibility and efficiency.",,,Cham,Springer Nature Switzerland,978-3-031-47448-4,2023,A Comparative Survey of Open-Source Platforms for Chat-Based Generative AI,"Kurivella, Pavan Kumar
and Lauren, Paula",inproceedings,10.1007/978-3-031-47448-4_13,"Arai, Kohei"
580--594,Advances in Computational Intelligence Systems,"Aiming at the first steps toward de-coupling the application of multi-robot systems from reliance on network infrastructure, this paper proposes a human-friendly verbal communication platform for multi-robot systems, following the deliberately designed principles of being adaptable, transparent, and secure. The platform is network independent and is subsequently capable of functioning in network-deprived environments--from underwater scenarios to planet exploration. A series of experiments were conducted to demonstrate the platform's capability in multi-robot systems communication and task co-ordination, showcasing its potential in infrastructure-free applications. To benefit the community, we have made the code open source at https://github.com/jynxmagic/MSc{\_}AI{\_}projectGitHub.",,,Cham,Springer Nature Switzerland,978-3-031-47508-5,2024,A Human-friendly Verbal Communication Platform for Multi-Robot Systems: Design and Principles,"Carr, Christopher
and Wang, Peng
and Wang, Shengling",inproceedings,10.1007/978-3-031-47508-5_45,"Naik, Nitin
and Jenkins, Paul
and Grace, Paul
and Yang, Longzhi
and Prajapat, Shaligram"
99--108,Intelligent Decision Technologies,"The article proposes a Telegram bot to automate the process of evaluating the technology readiness level (TRL). A brief overview of the solutions existing in this area was carried out, a flowchart reflecting the algorithm of the bot, and images demonstrating the appearance of its interface are presented. The bot has been successfully tested for performance: with equal input data, the conclusion about the TRL level obtained at the output of the algorithm coincides with the result of an expert assessment in accordance with GOST R 58048-2017. It is proposed to use the bot as a source of another additional opinion about the level of technological readiness of the project.",,,Singapore,Springer Nature Singapore,978-981-19-3444-5,2022,Development of a Telegram Bot to Determine the Level of Technological Readiness,"Suntsova, Darya I.
and Pavlov, Viktor A.
and Makarenko, Zinaida V.
and Bakholdin, Petr P.
and Politsinsky, Alexander S.
and Kremlev, Artem S.
and Margun, Alexey A.",inproceedings,10.1007/978-981-19-3444-5_9,"Czarnowski, Ireneusz
and Howlett, Robert J.
and Jain, Lakhmi C."
284--308,Applied Cryptography  and Network Security,"One of the new developments in chit-chat bots is a long-term memory mechanism that remembers information from past conversations for increasing engagement and consistency of responses. The bot is designed to extract knowledge of personal nature from their conversation partner, e.g., stating preference for a particular color. In this paper, we show that this memory mechanism can result in unintended behavior. In particular, we found that one can combine a personal statement with an informative statement that would lead the bot to remember the informative statement alongside personal knowledge in its long term memory. This means that the bot can be tricked into remembering misinformation which it would regurgitate as statements of fact when recalling information relevant to the topic of conversation. We demonstrate this vulnerability on the BlenderBot 2 framework implemented on the ParlAI platform and provide examples on the more recent and significantly larger BlenderBot 3 model. We generate 150 examples of misinformation, of which 114 (76{\%}) were remembered by BlenderBot 2 when combined with a personal statement. We further assessed the risk of this misinformation being recalled after intervening innocuous conversation and in response to multiple questions relevant to the injected memory. Our evaluation was performed on both the memory-only and the combination of memory and internet search modes of BlenderBot 2. From the combinations of these variables, we generated 12,890 conversations and analyzed recalled misinformation in the responses. We found that when the chat bot is questioned on the misinformation topic, it was 328{\%} more likely to respond with the misinformation as fact when the misinformation was in the long-term memory.",,,Cham,Springer Nature Switzerland,978-3-031-33488-7,2023,"Those Aren't Your Memories, They're Somebody Else's: Seeding Misinformation in Chat Bot Memories","Atkins, Conor
and Zhao, Benjamin Zi Hao
and Asghar, Hassan Jameel
and Wood, Ian
and Kaafar, Mohamed Ali",inproceedings,10.1007/978-3-031-33488-7_11,"Tibouchi, Mehdi
and Wang, XiaoFeng"
147--161,Cross-Cultural Design,"Bots are becoming more widely adopted in GitHub, with implications for online knowledge collaboration. It is necessary to study the extent of the impact of bots in online knowledge collaboration. A total of 843 projects with around 63125 aggregate data were acquired by crawling projects through GitHub API and filtering out projects that do not contain code or do not have any issues. Preliminary research found no correlation between the adoption of bots and the popularity of the project, while most of the literature support a positive correlation. But further classified observation according to the attributes of the bot, we found that projects with dedicated bots were more popular than projects with template bots. The study found that the adoption of dedicated bots for projects led to an increase in commit, fork, and issue count, which affected the addition, reorganization, and integration of knowledge collaboration. The study also found that projects with dedicated bots received more attention, with a positive correlation between fork count and star count, but no significant correlation between commit, issue count and star count. The impact of bots in online knowledge collaboration is still lacking in terms of adding and integrating knowledge.",,,Cham,Springer Nature Switzerland,978-3-031-60901-5,2024,Research on the Collaborative Mechanism of Project Robots in Online Knowledge Production Communities: An Analysis of GitHub,"Wang, Ziyu
and Ma, Chengming
and Shen, Wenhao",inproceedings,10.1007/978-3-031-60901-5_11,"Rau, Pei-Luen Patrick"
586--605,Computer Security -- ESORICS 2019,"Web bots are used to automate client interactions with websites, which facilitates large-scale web measurements. However, websites may employ web bot detection. When they do, their response to a bot may differ from responses to regular browsers. The discrimination can result in deviating content, restriction of resources or even the exclusion of a bot from a website. This places strict restrictions upon studies: the more bot detection takes place, the more results must be manually verified to confirm the bot's findings.",,,Cham,Springer International Publishing,978-3-030-29962-0,2019,Fingerprint Surface-Based Detection of Web Bot Detectors,"Jonker, Hugo
and Krumnow, Benjamin
and Vlot, Gabry",inproceedings,10.1007/978-3-030-29962-0_28,"Sako, Kazue
and Schneider, Steve
and Ryan, Peter Y. A."
86--97,Artificial Intelligence in HCI,"Within the ever-evolving domain of software development, the practice of having teams located in different geographical locations presents distinct obstacles, including disparate time zones, language hurdles, and differing degrees of experience. This paper presents a novel approach to address these difficulties by using an automated GitHub bot that utilizes Large Language Models (LLMs) to enforce SOLID principles during code reviews. This bot, which incorporates advanced models such as OpenAI's GPT-4 and the locally deployable Mixtral, has the objective of delivering immediate and practical feedback. Its purpose is to improve the quality of code and make learning easier for developers, particularly those who are new to programming. The bot's structure enables effortless incorporation into GitHub, utilizing LLMs to examine code modifications and offer observations regarding adherence to SOLID principles. An important characteristic of this method is the incorporation of Mixtral, which may be operated on-site, providing advantages in terms of data confidentiality and operational adaptability, essential for global enterprises with strict privacy demands. Here, we explores the bot's architecture, its incorporation with LLMs, and its capacity to revolutionize code reviews by offering a secure, efficient, and instructive instrument for geographically dispersed software development teams.",,,Cham,Springer Nature Switzerland,978-3-031-60615-1,2024,The Use of Large Language Model in Code Review Automation: An Examination of Enforcing SOLID Principles,"Martins, Gustavo F.
and Firmino, Emiliandro C. M.
and De Mello, Vinicius P.",inproceedings,10.1007/978-3-031-60615-1_6,"Degen, Helmut
and Ntoa, Stavroula"
381--389,Applied Information Processing Systems ,Enhancing software productivity would help companies to cut their costs and increase profits. Software metrics rely heavily on the personal experiences and skills of managers in pattern recognition and rewards. Differentiating between actual human effort and machine-generated code can help drive an organization's decision-making process that is rewarding its employees and provide an assistive tool to the managers allowing effective monitoring without micromanagement that has a wide application in managing work from home and other virtual environments. The paper explores the insight into the quality of machine-generated bot code compared to actual human coding efforts. It uses machine learning techniques to identify patterns and gives intelligent insights that can be used as a performance metric for versioning systems and business intelligence. We successfully distinguished between a bot and human-written code with an F1-score of 0.945 using the Light Gradient Boosting Method.,,,Singapore,Springer Singapore,978-981-16-2008-9,2022,CodeScan: A Supervised Machine Learning Approach to Open Source Code Bot Detection,"Gaurav, Vipul
and Singh, Shresth
and Srivastava, Avikant
and Shidnal, Sushila",inproceedings,10.1007/978-981-16-2008-9_37,"Iyer, Brijesh
and Ghosh, Debashis
and Balas, Valentina Emilia"
101--114,Disinformation in Open Online Media,"Social bots have recently gained attention in the context of public opinion manipulation on social media platforms. While a lot of research effort has been put into the classification and detection of such automated programs, it is still unclear how technically sophisticated those bots are, which platforms they target, and where they originate from. To answer these questions, we gathered repository data from open source collaboration platforms to identify the status-quo of social bot development as well as first insights into the overall skills of publicly available bot code.",,,Cham,Springer International Publishing,978-3-030-39627-5,2020,Inside the Tool Set of Automation: Free Social Bot Code Revisited,"Assenmacher, Dennis
and Adam, Lena
and Frischlich, Lena
and Trautmann, Heike
and Grimme, Christian",inproceedings,10.1007/978-3-030-39627-5_9,"Grimme, Christian
and Preuss, Mike
and Takes, Frank W.
and Waldherr, Annie"
397--406,Emerging Technologies in Data Mining and Information Security,"This research paper consists of the development of a python chatbot integrated with specific packages and dependencies having capabilities to perform various real-life applications which can also be packaged with some integrated systems as a personal assistant. Various Web services are used using their APIs so as to make it more powerful and less dependent on python packages. It operates completely on Linux (Ubuntu) terminal. Python command with the {\_}{\_}main{\_}{\_}.py file has been used to run it. Terminal then becomes a live Web-based chatbot service with STT and TTS services. Natural language processing is further done by Wit.ai API which token key is set in the code. Each NLP is done by the API and then processed, and crunched text is sent from the wit engine direct to display terminal.",,,Singapore,Springer Singapore,978-981-13-1501-5,2019,Integration of Wit API with Python Coded Terminal Bot,"Jain, Sanyam
and Sharma, Shivani
and Tomar, Ravi",inproceedings,10.1007/978-981-13-1501-5_34,"Abraham, Ajith
and Dutta, Paramartha
and Mandal, Jyotsna Kumar
and Bhattacharya, Abhishek
and Dutta, Soumi"
